,Class,Largest Spot Size,Spot Distribution,Activity,Evolution,24 hour flare activity,Historically-complex,Did region become historically complex on this pass across the sun's disk,Area,Area of the largest spot,Had flare
241,5,6,3,2,2,3,2,2,1,2,1
242,5,6,3,1,3,1,1,2,1,2,0
243,3,3,2,1,2,1,1,2,1,2,0
244,4,6,4,1,3,1,2,2,1,2,1
245,2,1,2,1,3,1,1,2,1,1,0
246,2,1,2,2,2,3,1,2,1,1,0
247,4,3,2,1,3,1,2,2,1,2,0
248,7,2,1,1,3,1,1,2,1,2,0
249,7,4,1,1,3,1,2,2,1,2,0
250,7,2,1,1,2,1,1,1,1,2,0
251,7,3,1,1,3,1,1,2,1,2,0
252,3,2,3,1,3,1,1,2,1,2,0
253,3,5,3,1,2,1,2,2,1,2,1
254,6,4,3,1,3,1,2,2,1,2,1
255,5,6,3,2,3,1,2,2,1,2,0
256,7,3,1,1,2,1,1,2,1,2,0
257,4,6,4,1,3,1,2,2,1,2,1
258,4,3,3,1,3,1,2,2,1,2,0
259,7,4,1,1,3,1,2,2,1,2,1
260,7,2,1,1,2,1,1,1,1,1,0
261,7,3,1,1,2,1,1,2,1,2,0
262,2,1,2,1,3,1,1,2,1,2,0
263,3,5,2,1,2,1,2,2,1,2,0
264,6,4,3,2,3,3,2,2,1,2,1
265,5,6,4,1,3,1,2,2,1,2,1
266,3,3,2,1,3,1,1,2,1,2,0
267,4,6,4,2,3,1,2,2,2,2,1
268,3,3,2,1,2,1,2,2,1,2,0
269,3,2,2,1,2,1,2,2,1,1,0
270,2,1,2,1,3,1,1,2,1,1,0
271,7,2,1,1,3,1,1,2,1,2,0
272,5,4,3,1,3,1,1,2,1,2,0
273,2,1,2,1,2,1,1,2,1,1,0
274,7,3,1,2,3,1,2,2,1,2,0
275,5,4,3,2,2,3,2,2,1,2,0
276,5,6,3,1,2,1,2,2,1,2,1
277,7,3,1,1,3,1,1,2,1,2,0
278,4,6,4,2,3,3,2,2,2,2,1
279,3,3,3,1,2,1,2,2,1,1,0
280,2,1,2,1,3,1,1,2,1,1,0
281,5,4,3,1,3,1,2,2,1,2,0
282,2,1,2,1,3,1,1,2,1,1,0
283,7,6,1,1,2,1,2,2,1,2,0
284,6,6,3,1,3,3,2,2,2,2,0
285,5,4,3,2,2,3,2,2,1,2,1
286,7,5,1,1,3,1,1,2,1,2,0
287,4,6,4,2,2,1,2,2,2,2,1
288,3,4,2,1,3,1,2,2,1,2,0
289,5,6,3,1,3,1,1,2,1,2,0
290,7,3,1,1,2,1,2,2,1,2,0
291,6,3,2,1,2,1,2,2,1,2,0
292,5,4,3,2,2,1,2,2,1,2,1
293,7,3,1,1,2,1,1,2,1,2,0
294,4,6,4,2,2,3,2,2,2,2,1
295,7,3,1,1,1,1,2,2,1,2,0
296,5,3,3,1,3,1,1,2,1,2,0
297,7,3,1,1,2,1,2,2,1,2,0
298,6,3,2,1,2,1,2,2,1,2,0
299,5,3,2,2,2,3,2,2,1,2,1
300,7,3,1,1,2,1,1,2,1,2,0
301,4,6,4,2,2,1,2,2,2,2,1
302,7,3,1,1,2,1,2,2,1,2,0
303,3,3,2,1,2,1,2,2,1,2,0
304,2,1,2,1,3,1,1,2,1,1,0
305,2,1,2,1,3,1,1,2,1,1,0
306,7,3,1,1,3,1,1,1,1,2,0
307,7,3,1,1,2,1,2,2,1,2,0
308,5,4,2,2,3,1,2,2,1,2,0
309,7,3,1,1,3,1,1,2,1,2,0
310,4,6,4,2,2,3,2,2,2,2,1
311,7,3,1,1,3,1,2,2,1,2,0
312,3,4,2,1,2,1,2,2,1,2,0
313,4,4,2,1,3,1,1,2,1,2,0
314,4,3,2,1,3,1,1,2,1,2,0
315,3,3,2,1,1,3,2,2,1,2,0
316,7,3,1,1,2,1,1,2,1,2,0
317,4,6,4,2,3,3,2,2,2,2,0
318,3,2,2,1,2,1,2,2,1,2,0
319,4,2,2,1,3,1,1,2,1,2,0
320,5,4,2,1,3,1,1,2,1,2,0
321,3,2,2,1,3,1,1,2,1,1,0
322,5,6,4,1,3,1,1,2,2,2,1
323,7,4,1,1,3,1,1,1,1,1,0
324,4,2,2,1,3,1,1,2,1,1,0
325,3,3,2,1,3,1,1,2,1,1,0
326,7,2,1,1,2,1,1,1,1,1,0
327,7,3,1,1,1,1,1,2,1,1,0
328,3,4,2,1,2,1,1,2,1,1,0
329,2,1,2,1,3,1,1,2,1,1,0
330,3,4,2,1,3,1,1,2,1,1,0
331,3,4,2,1,2,1,1,2,1,1,1
332,2,1,2,1,3,1,1,2,1,1,0
333,3,4,2,1,2,1,1,2,1,1,0
334,2,1,2,1,3,1,1,2,1,1,0
335,2,1,3,1,2,1,1,2,1,1,0
336,3,3,2,2,2,1,1,2,1,1,0
337,2,1,2,1,3,1,1,2,1,1,0
338,2,1,2,1,2,1,1,2,1,1,0
339,4,2,3,1,3,1,1,2,1,1,1
340,7,3,1,1,3,1,1,2,1,1,0
341,2,1,2,1,2,1,1,2,1,1,0
342,2,1,2,1,2,1,2,2,1,1,0
343,7,3,1,1,2,1,1,2,1,1,0
344,2,1,2,1,3,1,1,2,1,1,0
345,2,1,2,2,2,1,2,2,1,1,0
346,3,2,2,1,3,1,1,2,1,1,1
347,2,1,2,1,2,1,2,2,1,1,0
348,2,1,2,1,3,1,1,2,1,1,0
349,4,4,3,2,3,1,1,2,1,1,1
350,2,1,2,1,3,1,1,2,1,1,0
351,4,2,2,1,3,1,1,2,1,1,0
352,2,1,2,1,3,1,1,2,1,1,0
353,2,1,2,1,1,1,2,2,1,1,0
354,2,1,2,1,1,1,1,2,1,1,0
355,3,2,3,2,1,1,2,2,1,1,0
356,2,1,2,1,3,1,1,2,1,1,0
357,4,2,3,1,3,1,2,2,1,1,0
358,2,1,2,1,2,1,1,2,1,1,0
359,3,2,2,1,3,1,1,2,1,1,0
360,5,4,4,1,3,1,1,2,1,1,1
361,7,4,1,1,2,1,1,1,1,1,1
362,2,1,2,1,2,1,2,2,1,1,1
363,2,1,2,1,3,1,1,2,1,1,0
364,2,1,2,1,2,1,1,2,1,1,0
365,4,6,3,2,3,1,2,2,1,1,1
366,5,4,3,2,2,1,1,2,1,1,1
367,4,4,3,1,3,1,2,2,1,1,0
368,2,1,2,1,3,1,1,2,1,1,0
369,7,2,1,1,2,1,1,2,1,1,0
370,3,2,2,1,2,1,1,2,1,1,0
371,4,4,2,2,3,3,2,2,1,1,1
372,5,3,2,2,3,1,2,2,1,1,1
373,3,2,2,1,3,1,1,2,1,1,0
374,5,3,3,2,3,1,2,2,1,1,0
375,3,2,2,1,3,1,1,2,1,1,0
376,4,4,3,2,3,1,2,2,1,1,0
377,5,4,3,2,3,1,2,2,1,1,1
378,7,3,1,1,3,1,1,1,1,1,0
379,4,4,2,1,3,1,1,2,1,1,1
380,4,2,2,1,3,1,1,2,1,1,1
381,4,3,2,1,3,1,2,2,1,1,0
382,2,1,2,1,2,1,1,2,1,1,0
383,4,4,3,2,2,1,2,2,1,1,0
384,5,4,3,2,3,3,2,2,1,1,1
385,7,3,1,1,1,1,1,1,1,1,0
386,4,3,3,2,3,1,1,2,1,1,0
387,4,3,2,2,3,2,1,2,1,1,1
388,4,2,2,1,3,1,1,2,1,1,0
389,4,3,2,1,3,1,2,2,1,1,0
390,4,3,2,1,3,1,1,2,1,1,0
391,4,3,2,1,2,1,2,2,1,1,0
392,5,6,4,2,3,3,2,2,2,1,1
393,7,2,1,1,3,1,1,1,1,1,0
394,4,4,2,1,2,1,2,2,1,1,1
395,3,3,3,1,3,1,1,2,1,1,1
396,3,3,2,1,2,1,1,2,1,1,0
397,2,1,2,1,3,1,1,2,1,1,1
398,2,1,2,1,3,1,1,2,1,1,0
399,4,3,2,1,2,1,2,2,1,1,1
400,4,4,3,1,3,1,1,2,1,1,0
401,4,3,2,1,2,1,2,2,1,1,0
402,6,6,4,2,3,1,2,2,2,1,0
403,4,4,3,1,3,1,2,2,1,1,0
404,3,2,2,1,2,1,1,2,1,1,0
405,3,2,2,1,3,1,1,2,1,1,0
406,2,1,2,1,3,1,1,2,1,1,1
407,4,3,2,1,2,1,2,2,1,1,0
408,7,4,1,1,2,1,2,2,1,1,0
409,4,4,2,1,3,1,2,2,1,1,0
410,6,6,4,2,2,1,2,2,1,1,1
411,4,3,3,2,2,1,2,2,1,1,0
412,2,1,2,1,2,1,1,2,1,1,0
413,3,2,2,1,3,1,1,2,1,1,0
414,2,1,2,1,3,1,1,2,1,1,1
415,2,1,2,1,3,1,1,2,1,1,0
416,4,3,2,1,2,1,1,2,1,1,1
417,7,2,1,1,2,1,2,2,1,1,0
418,7,4,1,1,2,1,2,2,1,1,0
419,3,3,2,1,2,1,2,2,1,1,0
420,6,4,3,1,2,1,2,2,2,1,1
421,4,3,2,1,2,1,2,2,1,1,1
422,3,2,2,1,2,1,1,2,1,1,0
423,4,4,4,2,3,1,1,2,1,1,1
424,2,1,2,1,1,1,1,2,1,1,0
425,5,4,3,2,3,1,1,2,1,1,1
426,7,4,1,1,2,1,2,2,1,1,0
427,3,3,2,1,3,1,2,2,1,1,1
428,6,4,4,2,3,1,2,2,2,1,1
429,4,3,2,1,2,1,2,2,1,1,0
430,4,4,3,2,3,1,2,2,1,1,1
431,2,1,2,1,3,1,1,2,1,1,0
432,5,4,3,2,3,1,2,2,1,1,0
433,4,3,2,2,3,1,2,2,1,1,0
434,6,4,3,2,2,1,2,2,1,1,1
435,7,3,1,1,1,1,2,2,1,1,1
436,4,4,3,2,2,1,2,2,1,1,0
437,2,1,2,1,2,1,1,2,1,1,0
438,5,3,3,2,2,1,2,2,1,1,0
439,7,3,1,1,2,1,1,1,1,1,0
440,6,4,4,2,2,1,2,2,1,1,1
441,7,3,1,1,2,1,2,2,1,1,0
442,5,4,2,1,2,1,2,2,1,1,1
443,5,4,3,1,2,1,2,2,1,1,1
444,2,1,2,1,3,1,1,2,1,1,0
445,3,3,2,1,3,1,1,2,1,1,1
446,7,3,1,1,2,1,2,2,1,1,0
447,6,4,3,2,2,1,2,2,1,1,0
448,5,4,2,1,2,1,2,2,1,1,0
449,5,3,3,1,2,1,2,2,1,1,0
450,5,4,2,1,3,1,1,2,1,1,1
451,7,3,1,1,2,1,1,1,1,1,0
452,5,3,2,1,1,1,2,2,1,1,0
453,5,3,3,2,3,1,2,2,1,1,0
454,3,3,2,2,2,1,1,2,1,1,1
455,5,3,2,1,2,1,1,2,1,1,0
456,5,4,3,1,2,1,2,2,1,1,0
457,7,3,1,1,2,1,1,2,1,1,1
458,5,4,2,1,3,1,1,2,1,1,0
459,7,5,1,1,2,1,1,1,1,1,0
460,2,1,2,1,3,1,1,2,1,1,0
461,3,2,2,1,3,1,1,2,1,1,0
462,5,3,3,1,2,1,2,2,1,1,0
463,3,3,2,2,3,1,1,2,1,1,0
464,5,3,2,1,3,1,1,2,1,1,0
465,7,5,1,1,3,1,1,1,1,1,0
466,2,1,2,1,3,1,1,2,1,1,0
467,7,3,1,1,2,1,1,1,1,1,1
468,2,1,2,1,3,1,1,2,1,1,0
469,3,2,2,1,2,1,1,2,1,1,1
470,4,2,2,1,2,1,1,2,1,1,0
471,5,3,2,1,2,1,2,2,1,1,0
472,3,3,2,2,2,1,1,2,1,1,0
473,5,3,2,1,3,1,1,2,1,1,0
474,3,5,2,1,3,1,1,2,1,1,0
475,2,1,2,1,1,1,1,2,1,1,0
476,7,3,1,1,2,1,1,1,1,1,0
477,2,1,2,1,3,1,1,2,1,1,0
478,5,2,4,2,3,1,1,2,1,1,0
479,4,2,3,1,3,1,1,2,1,1,0
480,7,3,1,1,1,1,2,2,1,1,0
481,3,3,2,1,2,1,1,2,1,1,0
482,5,3,2,1,2,1,1,2,1,1,1
483,3,6,2,1,2,1,1,2,1,1,1
484,7,3,1,2,2,1,1,1,1,1,0
485,2,1,2,1,2,1,1,2,1,1,0
486,5,6,4,1,3,1,2,2,1,1,1
487,5,4,3,1,3,1,2,2,1,1,0
488,3,2,2,1,3,1,1,2,1,1,0
489,7,2,1,1,1,1,2,2,1,1,0
490,7,3,1,1,2,1,1,2,1,1,0
491,5,3,2,1,2,1,1,2,1,1,0
492,3,3,2,1,3,1,1,2,1,1,0
493,7,3,1,1,2,1,1,1,1,1,0
494,5,6,4,1,3,1,2,2,2,1,1
495,5,2,2,1,3,1,2,2,2,1,0
496,7,3,1,1,3,1,1,1,1,1,0
497,7,3,1,1,1,1,1,2,1,1,0
498,4,3,2,2,2,1,1,2,1,1,0
499,3,3,2,2,1,1,1,2,1,1,0
500,7,3,1,1,1,1,1,1,1,1,0
501,2,1,2,1,3,1,1,2,1,1,0
502,5,4,4,2,1,3,2,2,1,1,1
503,5,4,2,1,1,1,2,2,1,1,1
504,7,2,1,1,3,1,1,2,1,1,0
505,7,3,1,1,2,1,1,1,1,1,0
506,7,3,1,1,2,1,1,1,1,1,0
507,7,3,1,1,3,1,1,2,1,1,0
508,7,3,1,1,3,1,1,2,1,1,1
509,7,5,1,1,3,1,1,2,1,1,0
510,7,3,1,1,3,1,1,1,1,1,0
511,6,6,4,2,3,3,2,2,2,1,1
512,5,4,2,2,2,1,2,2,1,1,1
513,4,3,2,1,3,1,1,2,1,1,1
514,7,3,1,1,3,1,1,1,1,1,0
515,3,3,2,1,3,1,1,2,1,1,0
516,7,3,1,1,2,1,1,2,1,1,0
517,7,3,1,1,2,1,1,2,1,1,0
518,3,5,2,1,3,1,1,2,1,1,1
519,2,1,2,1,1,1,1,2,1,1,0
520,6,6,4,2,3,1,2,2,2,1,0
521,5,4,2,2,2,1,2,2,1,1,0
522,4,3,3,1,3,1,1,2,1,1,0
523,7,3,1,1,3,1,1,1,1,1,0
524,3,2,3,1,3,1,1,2,1,1,0
525,4,4,2,1,3,1,1,2,1,1,1
526,7,3,1,1,2,1,1,2,1,1,0
527,3,3,2,2,3,1,1,2,1,1,1
528,3,3,2,1,2,1,1,2,1,1,0
529,6,6,3,2,2,1,2,2,2,1,1
530,5,2,2,2,2,1,2,2,1,1,0
531,3,2,3,1,3,1,1,2,1,1,0
532,4,2,2,1,3,1,1,2,1,1,0
533,4,4,3,1,3,1,1,2,1,1,1
534,4,3,2,1,3,1,1,2,1,1,1
535,3,3,2,1,3,1,1,2,1,1,0
536,7,3,1,1,1,1,1,2,1,1,0
537,7,3,1,2,2,1,1,2,1,1,0
538,6,4,3,1,2,1,2,2,1,1,1
539,3,2,3,1,3,1,1,2,1,1,1
540,4,3,2,1,3,1,1,2,1,1,0
541,3,3,3,2,2,1,2,2,1,1,0
542,4,4,2,2,3,1,1,2,1,1,0
543,3,3,2,1,2,1,1,2,1,1,1
544,7,3,1,1,2,1,1,2,1,1,0
545,7,3,1,1,3,1,1,2,1,1,0
546,6,4,3,2,2,1,2,2,1,1,1
547,4,2,3,2,2,1,1,2,1,1,0
548,4,4,3,1,3,1,1,2,1,1,0
549,4,4,2,2,2,3,2,2,1,1,0
550,4,4,2,1,2,1,1,2,1,1,0
551,4,2,2,1,3,1,1,2,1,1,1
552,7,3,1,1,2,1,1,2,1,1,0
553,7,3,1,1,2,1,1,2,1,1,0
554,6,6,3,2,3,1,2,2,2,1,1
555,4,4,3,1,2,1,2,2,1,1,0
556,4,4,3,1,3,1,2,2,1,1,0
557,2,1,3,1,2,1,2,2,1,1,1
558,4,4,2,1,3,1,1,2,1,1,0
559,4,4,2,2,3,1,1,2,1,1,0
560,3,2,2,1,3,1,1,2,1,1,0
561,2,1,2,1,3,1,1,2,1,1,1
562,2,1,2,1,2,1,1,2,1,1,0
563,7,3,1,1,3,1,1,2,1,1,0
564,7,3,1,1,2,1,1,2,1,1,0
565,6,6,3,2,2,3,2,2,1,1,0
566,4,2,4,1,3,1,2,2,1,1,1
567,4,4,3,1,2,1,2,2,1,1,0
568,7,3,1,1,1,1,2,2,1,1,0
569,4,4,2,1,2,1,1,2,1,1,0
570,4,4,2,2,3,1,1,2,1,1,0
571,4,2,2,1,2,1,1,2,1,1,0
572,2,1,2,1,2,1,1,2,1,1,0
573,3,2,2,1,2,1,1,2,1,1,0
574,2,1,3,1,3,1,1,2,1,1,0
575,7,2,1,1,2,1,1,1,1,1,0
